abjectly|negative|negative|
accord|positive|positive|
accordantly|positive|positive|
acerbically|negative|negative|
actual|neutral|neutral|
adeptly|positive|positive|
admit|neutral|neutral|
affably|positive|positive|
afraid|negative|negative|
agilely|positive|positive|
amiabily|positive|positive|
amicably|positive|positive|
amiss|negative|negative|
amply|positive|positive|
inadvertently|negative
apathetically|negative|negative|
aptly|positive|positive|
asininely|negative|negative|
askance|negative|negative|
assiduously|positive|positive|
assuredly|positive|positive|
astutely|positive|positive|
backward|negative|negative|
basic|neutral|neutral|
best|positive|positive|
better|neutral|positive|
blissfully|positive|positive|
board|neutral|neutral|
boiling|negative|negative|
boldly|positive|positive|
clear|positive|positive|
cold|negative|negative|
coldly|negative|negative|
comfortably|positive|positive|
commendably|positive|positive|
commonsensibly|positive|positive|
completely|neutral|neutral|
condescendingly|negative|negative|
cooperative|positive|positive|
cooperatively|positive|positive|
costly|negative|negative|
deservedly|positive|positive|
dexterously|positive|positive|
diabolically|negative|negative|
diametrically|negative|negative|
diligently|positive|positive|
disconsolately|negative|negative|
discontentedly|negative|negative|
discriminatingly|positive|positive|
disgust|negative|negative|
dishonorablely|negative|negative|
disingenuously|negative|negative|
dispiritedly|negative|negative|
dissonantly|negative|negative|
distastefully|negative|negative|
divisively|negative|negative|
dizzingly|negative|negative|
doggedly|negative|negative|
dotingly|positive|positive|
doubtfully|negative|negative|
doubtless|positive|positive|
downheartedly|negative|negative|
dubiously|negative|negative|
effectively|neutral|neutral|
effortlessly|positive|positive|
egotistically|negative|negative|
elatedly|positive|positive|
elegantly|positive|positive|
enjoyably|positive|positive|
enthusiastically|positive|positive|
erratically|negative|negative|
even|neutral|neutral|
evenly|positive|positive|
exact|neutral|neutral|
exaltedly|positive|positive|
excitingly|positive|positive|
exhaustively|positive|positive|
expertly|positive|positive|
explicitly|positive|positive|
exquisitely|positive|positive|
excessively|negative|negative
eye|positive|positive|
facetiously|negative|negative|
fairly|positive|positive|
fallaciously|negative|negative|
fashionably|positive|positive|
fastidiously|negative|negative|
fatalistically|negative|negative|
fatally|negative|negative|
fatefully|negative|negative|
fatuously|negative|negative|
fawningly|negative|negative|
fearlessly|positive|positive|
feasibly|positive|positive|
ferociously|negative|negative|
fine|positive|positive|
firmly|neutral|neutral|
flatteringly|positive|positive|
flawlessly|positive|positive|
fond|positive|positive|
fondly|positive|positive|
forebodingly|negative|negative|
forlornly|negative|negative|
forward|positive|positive|
foul|negative|negative|
